Listing_Postion,Title,Brand,MRP,Price,Count_of_Rating,Count_of_reviews,Average_Rating_Score,Product_URL,Image_URL
30,TCL P Series 165.1 cm (65 inch) 4K Ultra HD LED Android 11 Google TV with Dolby Audio Digital Decoder,TCL ,124990.0,49990.0,,,,https://www.croma.com/tcl-p-series-165-1-cm-65-inch-4k-ultra-hd-led-android-11-google-tv-with-dolby-audio-digital-decoder/p/265854,/tcl-p-series-165-1-cm-65-inch-4k-ultra-hd-led-android-11-google-tv-with-dolby-audio-digital-decoder/p/265854
31,TCL 55P635 139.7 cm (55 inch) 4K Ultra HD LED Android TV with Dolby Audio (2022 model),TCL ,77990.0,36990.0,,,,https://www.croma.com/tcl-55p635-139-7-cm-55-inch-4k-ultra-hd-led-android-tv-with-dolby-audio-2022-model-/p/265853,/tcl-55p635-139-7-cm-55-inch-4k-ultra-hd-led-android-tv-with-dolby-audio-2022-model-/p/265853
32,Haier 109 cm (43 inch) LED 4K Ultra HD Android TV with Google Assistant (2022 model),Haier ,51990.0,32990.0,3.0,3.0,4.7,https://www.croma.com/haier-109-cm-43-inch-led-4k-ultra-hd-android-tv-with-google-assistant-2022-model-/p/264074,/haier-109-cm-43-inch-led-4k-ultra-hd-android-tv-with-google-assistant-2022-model-/p/264074
33,TCL P635 109.22 cm (43 inch) 4K Ultra HD Google TV with Dolby Audio (2022 model),TCL ,55990.0,25990.0,,,,https://www.croma.com/tcl-p635-109-22-cm-43-inch-4k-ultra-hd-google-tv-with-dolby-audio-2022-model-/p/262665,/tcl-p635-109-22-cm-43-inch-4k-ultra-hd-google-tv-with-dolby-audio-2022-model-/p/262665
34,Acer P Series 100 cm (40 inch) Full HD LED Android TV with Dolby Audio,Acer ,24990.0,16999.0,,,,https://www.croma.com/acer-p-series-100-cm-40-inch-full-hd-led-android-tv-with-dolby-audio/p/262345,/acer-p-series-100-cm-40-inch-full-hd-led-android-tv-with-dolby-audio/p/262345
35,Sony X90K 189.03 cm (75 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,379900.0,246990.0,2.0,2.0,4.5,https://www.croma.com/sony-x90k-189-03-cm-75-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/260214,/sony-x90k-189-03-cm-75-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/260214
36,SONY X85K Series 138.8 cm (55 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,149900.0,85490.0,2.0,2.0,4.5,https://www.croma.com/sony-x85k-series-138-8-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/259949,/sony-x85k-series-138-8-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/259949
37,SONY X85K Series 214.8 cm (85 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,599900.0,351490.0,,,,https://www.croma.com/sony-x85k-series-214-8-cm-85-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/259309,/sony-x85k-series-214-8-cm-85-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/259309
38,LG UQ75 108 cm (43 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,47990.0,39990.0,5.0,5.0,4.4,https://www.croma.com/lg-uq75-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257221,/lg-uq75-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257221
39,LG QNED81 164 cm (65 inch) 4K Ultra HD QNED WebOS TV with LG Voice Search (2022 model),LG ,169990.0,129990.0,,,,https://www.croma.com/lg-qned81-164-cm-65-inch-4k-ultra-hd-qned-webos-tv-with-lg-voice-search-2022-model-/p/258887,/lg-qned81-164-cm-65-inch-4k-ultra-hd-qned-webos-tv-with-lg-voice-search-2022-model-/p/258887
